"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 11:31:24 EET 2023","Mon Nov 06 11:31:30 EET 2023","6678","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest2","POST TEST 3x repetition 1 of 3",""
"passed","Mon Nov 06 11:31:31 EET 2023","Mon Nov 06 11:31:31 EET 2023","91","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest2","POST TEST 3x repetition 3 of 3",""
"passed","Mon Nov 06 11:31:35 EET 2023","Mon Nov 06 11:31:35 EET 2023","170","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest","POST TEST 3x random repetition 3 of 3",""
"passed","Mon Nov 06 11:31:31 EET 2023","Mon Nov 06 11:31:31 EET 2023","64","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest2","POST TEST 3x repetition 2 of 3",""
"passed","Mon Nov 06 11:31:35 EET 2023","Mon Nov 06 11:31:46 EET 2023","11352","","PageClicTest","","PageClicTest","testClick","PageClicTest",""
"passed","Mon Nov 06 11:31:34 EET 2023","Mon Nov 06 11:31:34 EET 2023","138","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest","POST TEST 3x random repetition 2 of 3",""
"passed","Mon Nov 06 11:31:31 EET 2023","Mon Nov 06 11:31:34 EET 2023","2853","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","showNamesTest","showNamesTest()",""
"passed","Mon Nov 06 11:31:34 EET 2023","Mon Nov 06 11:31:34 EET 2023","77","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest","POST TEST 3x random repetition 1 of 3",""
"passed","Mon Nov 06 11:31:34 EET 2023","Mon Nov 06 11:31:34 EET 2023","582","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest","POST TEST 3x random",""
